Country Code,year,gdp
CAN,1963,45029988561.2124
CHE,1963,13063643795.7884
CHL,1963,5668187500.0
CHN,1963,50706799902.5104
CIV,1963,761047045.830402
CMR,1963,718320701.389784
COD,1963,6213185742.57426
COG,1963,172233430.871502
COL,1963,4836166666.66667
COM,1963,425478060.2961595
CPV,1963,629550461.455645
CRI,1963,511902136.809973
CUB,1963,32633137648.291573
CUW,1963,529907840.4615807
CYM,1963,1260719930.9282136
CYP,1963,9671580116.92396
CZE,1963,75018948266.27742
DEU,1963,1787891308812.6345
DJI,1963,692268782.3177625
DMA,1963,233856842.568306
DNK,1963,155554999311.97568
DOM,1963,940799900.0
DZA,1963,2702960118.28806
ECU,1963,1824344492.08344
EGY,1963,94231664118.54344
ERI,1963,320581605.0869155
ESP,1963,19074913947.7196
EST,1963,7974092666.317512
ETH,1963,18923746424.316265
FIN,1963,6885920328.66187
FJI,1963,129454728.623599
FRA,1963,84759195105.8693
FRO,1963,892835598.2792426
FSM,1963,152349057.37704918
GAB,1963,154480244.244369
GBR,1963,86561961812.3249
GEO,1963,4917117362.470762
GHA,1963,1540616246.4986
GIB,1963,0.0
GIN,1963,3402800061.850502
GMB,1963,645440637.0185436
GNB,1963,416237486.50807923
GNQ,1963,10840095.1283649
GRC,1963,5895278024.09202
GRD,1963,391375426.1202186
GRL,1963,1097504403.3783352
GTM,1963,1262800000.0
GUM,1963,1664213114.7540984
GUY,1963,175756868.692761
HKG,1963,1935298266.45384
HND,1963,410200000.0
HRV,1963,20816883755.912975
HTI,1963,294883400.0
HUN,1963,51664891729.89662
IDN,1963,285875264262.00415
IMN,1963,1775935307.4528196
IND,1963,48421923459.1235
IRL,1963,2430843768.44553
IRN,1963,4928628018.38759
IRQ,1963,1978437692.5231
ISL,1963,340061650.119898
ISR,1963,2992333333.33333
ITA,1963,57710743059.8341
JAM,1963,826690466.190676
JOR,1963,11985653782.787558
JPN,1963,69498131797.3333
KAZ,1963,50478789556.274025
KEN,1963,926589348.572953
KGZ,1963,2197390287.0207634
KHM,1963,728571437.142857
KIR,1963,74729348.03210096
KNA,1963,12833226.3897801
KOR,1963,3988476878.75723
KWT,1963,46935229918.14313
LAO,1963,3722869365.194184
LBN,1963,14329210106.853313
LBR,1963,789917977.0491803
LBY,1963,25087460305.756077
LCA,1963,701726966.7936614
LIE,1963,2193283096.0771823
LKA,1963,1240672268.90756
LSO,1963,47039059.2188156
LTU,1963,14620656984.757362
LUX,1963,791140595.772755
LVA,1963,9626594160.326801
MAC,1963,11827844302.55251
MAF,1963,25390845.563466016
MAR,1963,2657247327.3392
MCO,1963,2809643426.9324136
MDA,1963,2575563921.5457025
MDG,1963,759345862.979021
MDV,1963,1105258840.6221232
MEX,1963,16960000000.0
MHL,1963,86553181.96721311
MKD,1963,3892711296.396571
MLI,1963,4795835502.108938
MLT,1963,4361712304.097336
MMR,1963,659976659.599529
MNE,1963,1334069793.1033075
MNG,1963,3465886250.201753
MNP,1963,303573770.4918033
MOZ,1963,4843078702.612209
MRT,1963,168186331.270673
MUS,1963,4442108063.547891
MWI,1963,190816183.676326
MYS,1963,2510126747.68065
NAM,1963,4382454315.748688
NCL,1963,3748125491.0024767
NER,1963,586294761.493516
NGA,1963,5165489010.2198
NIC,1963,292916241.142857
NLD,1963,15891241386.291
NOR,1963,6510239502.76489
NPL,1963,496947904.443033
NRU,1963,19670443.687113196
NZL,1963,6638937283.13963
OMN,1963,25401887924.71011
PAK,1963,4630827383.45233
PAN,1963,722784500.0
PER,1963,3600957771.15672
PHL,1963,5505055617.58388
PLW,1963,77196327.86885247
PNG,1963,275968039.487715
POL,1963,177593126796.138
PRI,1963,2333600000.0
PRK,1963,0.0
PRT,1963,3905734459.72693
PRY,1963,11707556498.72971
PSE,1963,4046395081.967213
PYF,1963,3073710104.1755886
QAT,1963,44723543642.99659
ROU,1963,66111939150.72315
RUS,1963,555404876959.0406
RWA,1963,128000000.0
SAU,1963,242660087889.15347
SDN,1963,1568333333.33333
SEN,1963,1122139637.2651
SGP,1963,917614007.578727
SLB,1963,463600517.84442437
SLE,1963,348546952.134368
SLV,1963,9420575952.52459
SMR,1963,586215240.5283029
SOM,1963,216145935.941626
SRB,1963,15777264381.744091
SSD,1963,1846636951.5730624
STP,1963,88261795.62605375
SUR,1963,125950000.0
SVK,1963,33225453599.60619
SVN,1963,17581941619.68211
SWE,1963,20204870629.7441
SWZ,1963,54128377.4324513
SXM,1963,148917483.28601506
SYC,1963,13923029.2643975
SYR,1963,1200447408.37696
TCA,1963,265148700.0
TCD,1963,371767002.650081
TGO,1963,143255784.510751
THA,1963,3540403456.55305
TJK,1963,2193586410.8217816
TKM,1963,8129531507.156664
TLS,1963,413439435.4468182
TON,1963,173590624.42727166
TTO,1963,678235373.038558
TUN,1963,19241431340.168407
TUR,1963,10355555555.5556
TUV,1963,14202894.534310814
TZA,1963,14201475803.773626
UGA,1963,516147798.742138
UKR,1963,56364178796.38789
URY,1963,1539681490.78174
USA,1963,638600000000.0
UZB,1963,18391294439.22637
VCT,1963,13708219.0981742
VEN,1963,9753333333.33333
VGB,1963,0.0
VIR,1963,1247213114.7540984
VNM,1963,65250874015.8608
VUT,1963,288356888.9715
WSM,1963,281085415.68376553
YEM,1963,8666793960.990273
ZAF,1963,10854195662.8805
ZMB,1963,718714285.714286
ZWE,1963,1159511700.0
ABW,1964,1184220177.4478395
AFG,1964,800000044.444444
AGO,1964,26122388895.66278
ALB,1964,4477798007.687516
AND,1964,1386951657.1866064
ARE,1964,124174090039.84363
ARG,1964,25605249381.7597
ARM,1964,3411659248.013346
ASM,1964,197081967.21311477
ATG,1964,579804757.3891925
AUS,1964,23799977601.0751
AUT,1964,9169983885.71185
AZE,1964,14678747979.835789
BDI,1964,260750008.0
BEL,1964,15960106680.6732
BEN,1964,269818988.259263
BFA,1964,410321618.17137
BGD,1964,5386054619.34987
BGR,1964,22497560945.75715
BHR,1964,10617093027.184528
BHS,1964,266666666.666667
BIH,1964,5842961621.574733
BLR,1964,19914459083.324207
BLZ,1964,36193826.1234775
BMU,1964,107566650.633857
BOL,1964,539491477.320156
BRA,1964,20963733694.9749
BRB,1964,2225541591.650501
BRN,1964,5851795996.03707
BTN,1964,623736760.1298324
BWA,1964,41613969.0506064
