Country Code,year,govexp
VUT,2004,5.778566479682922
WLD,2004,3.94351494312287
WSM,2004,4.710223734378815
XKX,2004,
ZAF,2004,4.50897979736328
ZMB,2004,2.46342992782593
ZWE,2004,9.083271551132198
ABW,2005,4.68132019042969
AFE,2005,3.81897008419037
AFG,2005,2.5699999332428
AFW,2005,2.72683000564575
AGO,2005,2.12011003494263
ALB,2005,3.28154993057251
AND,2005,1.64497005939484
ARB,2005,3.8948111454645793
ARE,2005,2.0256467103958142
ARG,2005,3.86000990867615
ARM,2005,2.71202993392944
ASM,2005,14.7170495986938
ATG,2005,2.841239103904137
AUS,2005,4.89851999282837
AUT,2005,5.24937009811401
AZE,2005,2.97462010383606
BDI,2005,3.632159948349
BEL,2005,5.79585981369019
BEN,2005,2.6566801071167
BFA,2005,3.94113993644714
BGD,2005,1.7766872985022408
BGR,2005,4.10879993438721
BHR,2005,3.32999992370605
BIH,2005,
BLR,2005,5.8710298538208
BLZ,2005,6.530758268692914
BMU,2005,1.98877000808716
BOL,2005,8.316376772793857
BRA,2005,4.47908020019531
BRB,2005,5.66965007781982
BRN,2005,3.7034059409742013
BTN,2005,7.28714990615845
BWA,2005,10.6785898208618
CAF,2005,1.65222001075745
CAN,2005,4.76588010787964
CEB,2005,4.81026983261108
CHE,2005,5.05740022659302
CHI,2005,
CHL,2005,3.26283001899719
CHN,2005,2.39000010490417
CIV,2005,2.91944003105164
CMR,2005,2.65651988983154
COL,2005,4.02098989486694
COM,2005,2.76665872335434
CPV,2005,5.80948295091328
CRI,2005,5.55757030125322
CSS,2005,4.61641979217529
CUB,2005,10.5577802658081
CUW,2005,6.500905922480993
CYM,2005,2.115682721138
CYP,2005,6.28667020797729
CZE,2005,3.86591005325317
DEU,2005,4.701914000511169
DJI,2005,8.36588954925537
DMA,2005,4.867326521873475
DNK,2005,8.08557033538818
DOM,2005,2.3878883957862858
DZA,2005,6.453123982747396
EAP,2005,3.3760655295281197
EAR,2005,3.899341498102461
EAS,2005,3.25545001029968
ECA,2005,3.64203000068665
ECS,2005,4.87839984893799
ECU,2005,3.8537078577539194
EMU,2005,4.97617483139038
ERI,2005,3.481281518936158
ESP,2005,4.14432001113892
EST,2005,4.81026983261108
ETH,2005,4.025005531311035
EUU,2005,5.07394981384277
FCS,2005,3.267714056101714
FIN,2005,6.02507019042969
